Series ID,Year,Period,Label,Value
LNS11300000,2024,M01,2024 Jan,62.5
LNS11300000,2024,M02,2024 Feb,62.6
LNS11300000,2024,M03,2024 Mar,62.7
LNS11300000,2024,M04,2024 Apr,62.6
LNS11300000,2024,M05,2024 May,62.6
LNS11300000,2024,M06,2024 Jun,62.6
LNS11300000,2024,M07,2024 Jul,62.7
LNS11300000,2024,M08,2024 Aug,62.7
LNS11300000,2024,M09,2024 Sep,62.7
LNS11300000,2024,M10,2024 Oct,62.5
LNS11300000,2024,M11,2024 Nov,62.4
LNS11300000,2024,M12,2024 Dec,62.5
LNS11300000,2025,M01,2025 Jan,62.6
LNS11300000,2025,M02,2025 Feb,62.5
LNS11300000,2025,M03,2025 Mar,62.5
LNS11300000,2025,M04,2025 Apr,62.6
LNS11300000,2025,M05,2025 May,62.4
LNS11300000,2025,M06,2025 Jun,62.3
LNS11300000,2025,M07,2025 Jul,62.2
LNS11300000,2025,M08,2025 Aug,62.3
LNS11300000,2025,M09,2025 Sep,62.5
LNS11300000,2025,M10,2025 Oct,-
LNS11300000,2025,M11,2025 Nov,62.5
LNS11300000,2025,M12,2025 Dec,62.4
LNS11300000,2026,M01,2026 Jan,62.5
