"Title: Marketplace Enrollment, 2014-2025 | KFF State Health Facts"
"Timeframe: 2025"
"Location","Number of Individuals Who Selected a Marketplace Plan",Footnotes
"United States","24319713"
"Alabama","477838"
"Alaska","28736"
"Arizona","423025"
"Arkansas","166639"
"California","1979504"
"Colorado","282481"
"Connecticut","151151"
"Delaware","52931"
"District of Columbia","14930"
"Florida","4735415"
"Georgia","1510852"
"Hawaii","24606"
"Idaho","117373"
"Illinois","465985"
"Indiana","359240"
"Iowa","136833"
"Kansas","200046"
"Kentucky","97374"
"Louisiana","292994"
"Maine","64678"
"Maryland","247243"
"Massachusetts","389191"
"Michigan","531083"
"Minnesota","151512","1"
"Mississippi","338159"
"Missouri","417000"
"Montana","77221"
"Nebraska","136684"
"Nevada","110687"
"New Hampshire","70337"
"New Jersey","513217"
"New Mexico","70373"
"New York","221534","2"
"North Carolina","975110"
"North Dakota","42901"
"Ohio","583443"
"Oklahoma","307989"
"Oregon","139688","3"
"Pennsylvania","496661"
"Rhode Island","42117"
"South Carolina","631948"
"South Dakota","54721"
"Tennessee","642867"
"Texas","3966226"
"Utah","421890"
"Vermont","32862"
"Virginia","388856"
"Washington","308227"
"West Virginia","67113"
"Wisconsin","313579"
"Wyoming","46643"

"Notes"
"The Affordable Care Act established Health Insurance Marketplaces where individuals can purchase health insurance during an annual open enrollment period.  The data in this table show Marketplace enrollment during each of the open enrollment periods from 2014 through 2025."

"Sources"
"Health Insurance Marketplace Open Enrollment Reports for [2014](http://aspe.hhs.gov/health/reports/2014/MarketPlaceEnrollment/Apr2014/ib_2014Apr_enrollment.pdf), [2015](http://aspe.hhs.gov/health/reports/2015/MarketPlaceEnrollment/Mar2015/ib_2015mar_enrollment.pdf),  and [2016](https://aspe.hhs.gov/sites/default/files/pdf/188026/MarketPlaceAddendumFinal2016.pdf), Office of the Assistant Secretary for Planning and Evaluation (ASPE), Department of Health and Human Services. "
""
"Marketplace Open Enrollment Period Public Use Files for [2017-2025](https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2025-marketplace-open-enrollment-period-public-use-files) Centers for Medicare and Medicaid Services (CMS), Department of Health and Human Services."

"Definitions"
"*Number of Individuals Who Selected a Marketplace Plan* represents the total number of people who selected or were automatically reenrolled into a Marketplace medical plan (regardless of whether the consumer paid the premium) as of the end of the open enrollment period. This does not include those with cancelled QHP plans."


Footnotes
"1. Minnesota operates a Basic Health Program (BHP), MinnesotaCare, which provides coverage to individuals with incomes 138%-200% of the federal poverty level who would otherwise be eligible to purchase subsidized coverage through the state's Health Insurance Marketplace, MNsure. Individuals can enroll in the BHP throughout the year, and as of December 31, 2024, there were 97,078 people enrolled in MinnesotaCare."
"2. New York provides coverage through the Essential Health Plan (EP) to individuals with incomes 138%-250% of the federal poverty level who would otherwise be eligible to purchase subsidized coverage through the state's Health Insurance Marketplace, NY State of Health. Individuals can enroll in the EP throughout the year, and as of January 31, 2025, there were 1,663,673 people enrolled in New York's EP."
"3. Oregon operates a Basic Health Program (BHP), OHP Bridge, which provides coverage to individuals with incomes 138%-200% of the federal poverty level who would otherwise be eligible to purchase subsidized coverage through the federal Health Insurance Marketplace.  Individuals can enroll in the BHP throughout the year, and as of January 15, 2025, there were 31,944 people enrolled in OHP Bridge. "
