"Title: Medicaid Expansion Enrollment | KFF State Health Facts"
"Timeframe: Jun 2025"
"Location","Expansion Group Enrollment","Expansion Group - Newly Eligible Enrollment","Expansion Group - Not Newly Eligible Enrollment","Total Medicaid Enrollment","Expansion Enrollment as a Percent of Total Enrollment"
"United States","19776751","16388981","3387770","81436680","0.2428481981"
"Alabama","N/A","N/A","N/A","1060096","N/A"
"Alaska","65471","65470","1","210365","0.3112257267"
"Arizona","509183","110315","398868","1932524","0.2634808158"
"Arkansas","233965","226416","7549","802955","0.2913799653"
"California","5024843","5005117","19726","14750830","0.3406481534"
"Colorado","381904","369440","12464","1209801","0.3156750573"
"Connecticut","314988","287714","27274","1059391","0.2973293147"
"Delaware","68377","9274","59103","227223","0.3009246423"
"District of Columbia","119001","76533","42468","261754","0.4546291556"
"Florida","N/A","N/A","N/A","4099189","N/A"
"Georgia","N/A","N/A","N/A","1972831","N/A"
"Hawaii","130685","16687","113998","395710","0.3302544793"
"Idaho","88751","88751","0","342565","0.2590778392"
"Illinois","814097","728038","86059","2816066","0.2890901705"
"Indiana","517848","517848","0","1721774","0.3007642118"
"Iowa","179380","164488","14892","597068","0.3004347913"
"Kansas","N/A","N/A","N/A","374764","N/A"
"Kentucky","464026","464026","0","1345767","0.3448041154"
"Louisiana","742292","507292","235000","1794729","0.4135955902"
"Maine","96688","77433","19255","371862","0.260010434"
"Maryland","331544","331544","0","1288374","0.2573352148"
"Massachusetts","344092","0","344092","1941740","0.1772080711"
"Michigan","716393","672044","44349","2337596","0.3064657024"
"Minnesota","212268","212268","0","1148946","0.1847501971"
"Mississippi","N/A","N/A","N/A","649345","N/A"
"Missouri","350174","350174","0","1196085","0.2927668184"
"Montana","75318","75318","0","206486","0.364760807"
"Nebraska","69678","67384","2294","337654","0.2063591724"
"Nevada","283845","283845","0","712569","0.3983403712"
"New Hampshire","60900","59942","958","181962","0.334685264"
"New Jersey","546446","546446","0","1614372","0.338488279"
"New Mexico","247310","247310","0","805358","0.3070808262"
"New York","1989558","283263","1706295","6840273","0.2908594438"
"North Carolina","669048","669048","0","3149429","0.2124346985"
"North Dakota","25187","23787","1400","108083","0.2330338721"
"Ohio","705005","704821","184","3002481","0.2348074809"
"Oklahoma","239479","239479","0","979807","0.2444144612"
"Oregon","689347","573373","115974","1303507","0.5288402747"
"Pennsylvania","822177","773433","48744","2957012","0.2780431733"
"Rhode Island","76455","76455","0","304608","0.2509947211"
"South Carolina","N/A","N/A","N/A","1220541","N/A"
"South Dakota","29843","29843","0","132754","0.2247992528"
"Tennessee","N/A","N/A","N/A","1504581","N/A"
"Texas","N/A","N/A","N/A","4374287","N/A"
"Utah","82570","81396","1174","335872","0.2458377001"
"Vermont","61252","0","61252","163398","0.3748638294"
"Virginia","629482","629482","0","1699456","0.3704020581"
"Washington","597699","573302","24397","1806696","0.3308243335"
"West Virginia","170182","170182","0","510520","0.3333503095"
"Wisconsin","N/A","N/A","N/A","1209196","N/A"
"Wyoming","N/A","N/A","N/A","66428","N/A"

"Notes"
"Enrollment from the Medicaid Budget and Expenditure System (MBES) is reported for each month."

"Sources"
"KFF analysis of Medicaid enrollment data collected from the Centers for Medicare and Medicaid Services (CMS) [Medicaid Budget and Expenditure System (MBES)](https://www.medicaid.gov/medicaid/national-medicaid-chip-program-information/medicaid-chip-enrollment-data/medicaid-enrollment-data-collected-through-mbes/index.html)."

"Definitions"
"*Expansion Group Enrollment*: Total number of adults who have enrolled in Medicaid as a result of the ACA expansion of the program. "
""
"*Expansion Group - Newly Eligible Enrollment*: Adults in the expansion group who were made newly eligible for Medicaid by the ACA Medicaid expansion."
""
"*Expansion Group - Not Newly Eligible Enrollment*: Enrollees in the expansion group who were eligible for Medicaid through pre-ACA eligibility pathways. "
""
"*N/A*: Not applicable. State did not expand Medicaid as of reported month."


